Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,1.121582,5.290259,0.0,bottom
C4,100p,C_0402_1005Metric,4.544,1.397,0.0,top
C5,100p,C_0402_1005Metric,4.544,2.286,0.0,top
C6,3u3,C_0402_1005Metric,4.544,0.508,0.0,top
C7,100n,C_0402_1005Metric,4.544,-0.381,0.0,top
C8,1u,C_0402_1005Metric,5.814,-5.588,90.0,bottom
C9,100n,C_0402_1005Metric,4.29,-5.08,0.0,bottom
C10,3u3,C_0402_1005Metric,4.306,-6.069,0.0,bottom
C11,1u,C_0402_1005Metric,1.2902,-6.5024,180.0,bottom
C12,1u,C_0402_1005Metric,-5.2324,-4.2926,0.0,bottom
C13,10u,C_0402_1005Metric,2.766,-8.001,90.0,bottom
C14,1u,C_0402_1005Metric,-0.5386,-6.5024,0.0,bottom
C15,47n,C_0402_1005Metric,-0.9398,-1.524,180.0,top
C16,10u,C_0402_1005Metric,-2.06,-8.001,90.0,bottom
C17,47n,C_0402_1005Metric,0.988,-1.524,0.0,top
C18,470n,C_0402_1005Metric,-0.452,-2.921,-90.0,top
C19,470n,C_0402_1005Metric,0.508,-2.921,-90.0,top
C20,470n,C_0402_1005Metric,-1.468,-2.921,90.0,top
C21,470n,C_0402_1005Metric,1.524,-2.921,90.0,top
C22,10u,C_0402_1005Metric,-4.2216,-7.11,-90.0,top
C23,100n,C_0402_1005Metric,-3.2056,-7.11,-90.0,top
C24,10u,C_0402_1005Metric,4.191,-7.1628,-90.0,top
C25,100n,C_0402_1005Metric,3.175,-7.1628,-90.0,top
C26,10u,C_0402_1005Metric,-1.016,-9.525,180.0,top
C27,100n,C_0402_1005Metric,0.889,-9.525,0.0,top
C28,1u,C_0402_1005Metric,-4.4196,4.4196,270.0,bottom
C29,100n,C_0402_1005Metric,0.508,7.62,180.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,0.0,9.779,0.0,top
L1,1uH / <0.6Î©,L_0805_2012Metric,-2.921,7.1925,270.0,bottom
R1,22,R_0402_1005Metric,-0.277418,5.798259,270.0,bottom
R2,22,R_0402_1005Metric,-1.293418,5.798259,90.0,bottom
R3,1k5,R_0402_1005Metric,1.119582,6.306259,180.0,bottom
R5,100,R_0402_1005Metric,-0.96,-0.508,0.0,top
R6,100,R_0402_1005Metric,1.016,-0.508,180.0,top
R7,33k,R_0402_1005Metric,1.3208,-7.493,0.0,bottom
R8,33k,R_0402_1005Metric,1.369,-8.509,0.0,bottom
R9,33k,R_0402_1005Metric,3.556,-5.08,0.0,top
R10,33k,R_0402_1005Metric,-0.5588,-7.493,0.0,bottom
R11,33k,R_0402_1005Metric,-0.5588,-8.509,0.0,bottom
R12,33k,R_0402_1005Metric,-3.556,-5.08,180.0,top
R13,5k1,R_0402_1005Metric,1.905,3.937,0.0,top
R14,5k1,R_0402_1005Metric,-2.286,3.937,180.0,top
R15,33k,R_0402_1005Metric,-0.0254,-10.4394,180.0,top
U1,PCM2912A,TQFP-32_7x7mm_P0.8mm,-0.028,-0.557741,0.0,bottom
U2,TPA2012D2RTJR,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,0.0,-6.477,270.0,top
X1,6MHz XO,OSC-SMD_4P-L3.2-W2.5-BL,0.477919,10.287,90.0,bottom
